,date,seller,daily_sales
0,2023-01-01,Иван Петров,164.9
1,2023-01-01,Мария Сидорова,145.85
2,2023-01-01,Алексей Козлов,169.43
3,2023-01-01,Елена Новикова,195.69
4,2023-01-01,Михаил Смирнов,142.98
5,2023-01-01,Сергей Антонов,142.98
6,2023-01-01,Максим Иванов,197.38
7,2023-01-02,Иван Петров,123.02
8,2023-01-02,Мария Сидорова,85.92
9,2023-01-02,Алексей Козлов,116.28
10,2023-01-02,Елена Новикова,86.1
11,2023-01-02,Михаил Смирнов,86.03
12,2023-01-02,Сергей Антонов,107.26
13,2023-01-02,Максим Иванов,42.6
14,2023-01-03,Иван Петров,48.25
15,2023-01-03,Мария Сидорова,83.13
16,2023-01-03,Алексей Козлов,69.62
17,2023-01-03,Елена Новикова,109.43
18,2023-01-03,Михаил Смирнов,72.76
19,2023-01-03,Сергей Антонов,57.63
20,2023-01-03,Максим Иванов,143.97
21,2023-01-04,Иван Петров,93.23
22,2023-01-04,Мария Сидорова,102.03
23,2023-01-04,Алексей Козлов,57.26
24,2023-01-04,Елена Новикова,83.67
25,2023-01-04,Михаил Смирнов,103.33
26,2023-01-04,Сергей Антонов,65.47
27,2023-01-04,Максим Иванов,111.27
28,2023-01-05,Иван Петров,81.98
29,2023-01-05,Мария Сидорова,91.25
30,2023-01-05,Алексей Козлов,81.95
31,2023-01-05,Елена Новикова,155.57
32,2023-01-05,Михаил Смирнов,99.6
33,2023-01-05,Сергей Антонов,68.27
34,2023-01-05,Максим Иванов,124.68
35,2023-01-06,Иван Петров,63.37
36,2023-01-06,Мария Сидорова,106.27
37,2023-01-06,Алексей Козлов,41.21
38,2023-01-06,Елена Новикова,60.15
39,2023-01-06,Михаил Смирнов,105.91
40,2023-01-06,Сергей Антонов,122.15
41,2023-01-06,Максим Иванов,105.14
42,2023-01-07,Иван Петров,146.53
43,2023-01-07,Мария Сидорова,140.97
44,2023-01-07,Алексей Козлов,105.64
45,2023-01-07,Елена Новикова,128.4
46,2023-01-07,Михаил Смирнов,136.18
47,2023-01-07,Сергей Антонов,181.71
48,2023-01-07,Максим Иванов,160.31
49,2023-01-08,Иван Петров,97.11
50,2023-01-08,Мария Сидорова,159.72
51,2023-01-08,Алексей Козлов,138.45
52,2023-01-08,Елена Новикова,129.69
53,2023-01-08,Михаил Смирнов,168.35
54,2023-01-08,Сергей Антонов,180.93
55,2023-01-08,Максим Иванов,177.94
56,2023-01-09,Иван Петров,74.82
57,2023-01-09,Мария Сидорова,90.72
58,2023-01-09,Алексей Козлов,109.94
59,2023-01-09,Елена Новикова,129.27
60,2023-01-09,Михаил Смирнов,85.62
61,2023-01-09,Сергей Антонов,94.43
62,2023-01-09,Максим Иванов,66.81
63,2023-01-10,Иван Петров,64.11
64,2023-01-10,Мария Сидорова,124.38
65,2023-01-10,Алексей Козлов,140.69
66,2023-01-10,Елена Новикова,97.84
67,2023-01-10,Михаил Смирнов,130.11
68,2023-01-10,Сергей Антонов,110.85
69,2023-01-10,Максим Иванов,80.65
70,2023-01-11,Иван Петров,110.84
71,2023-01-11,Мария Сидорова,146.14
72,2023-01-11,Алексей Козлов,98.93
73,2023-01-11,Елена Новикова,146.94
74,2023-01-11,Михаил Смирнов,21.41
75,2023-01-11,Сергей Антонов,124.66
76,2023-01-11,Максим Иванов,102.61
77,2023-01-12,Иван Петров,91.03
78,2023-01-12,Мария Сидорова,102.75
79,2023-01-12,Алексей Козлов,40.37
80,2023-01-12,Елена Новикова,93.41
81,2023-01-12,Михаил Смирнов,110.71
82,2023-01-12,Сергей Антонов,144.34
83,2023-01-12,Максим Иванов,84.45
84,2023-01-13,Иван Петров,75.75
85,2023-01-13,Мария Сидорова,84.95
86,2023-01-13,Алексей Козлов,127.46
87,2023-01-13,Елена Новикова,109.86
88,2023-01-13,Михаил Смирнов,84.11
89,2023-01-13,Сергей Антонов,115.4
90,2023-01-13,Максим Иванов,102.91
91,2023-01-14,Иван Петров,179.06
92,2023-01-14,Мария Сидорова,128.94
93,2023-01-14,Алексей Козлов,140.17
94,2023-01-14,Елена Новикова,138.24
95,2023-01-14,Михаил Смирнов,106.09
96,2023-01-14,Сергей Антонов,158.88
97,2023-01-14,Максим Иванов,157.83
98,2023-01-15,Иван Петров,150.15
99,2023-01-15,Мария Сидорова,142.96
100,2023-01-15,Алексей Козлов,107.54
101,2023-01-15,Елена Новикова,137.38
102,2023-01-15,Михаил Смирнов,139.72
103,2023-01-15,Сергей Антонов,125.93
104,2023-01-15,Максим Иванов,145.16
105,2023-01-16,Иван Петров,112.12
106,2023-01-16,Мария Сидорова,156.59
107,2023-01-16,Алексей Козлов,105.24
108,2023-01-16,Елена Новикова,107.73
109,2023-01-16,Михаил Смирнов,97.77
110,2023-01-16,Сергей Антонов,42.44
111,2023-01-16,Максим Иванов,99.2
112,2023-01-17,Иван Петров,101.81
113,2023-01-17,Мария Сидорова,173.9
114,2023-01-17,Алексей Козлов,94.23
115,2023-01-17,Елена Новикова,109.05
116,2023-01-17,Михаил Смирнов,98.96
117,2023-01-17,Сергей Антонов,64.94
118,2023-01-17,Максим Иванов,134.28
119,2023-01-18,Иван Петров,122.56
120,2023-01-18,Мария Сидорова,123.73
121,2023-01-18,Алексей Козлов,72.72
122,2023-01-18,Елена Новикова,142.08
123,2023-01-18,Михаил Смирнов,57.94
124,2023-01-18,Сергей Антонов,117.61
125,2023-01-18,Максим Иванов,165.71
126,2023-01-19,Иван Петров,70.28
127,2023-01-19,Мария Сидорова,83.01
128,2023-01-19,Алексей Козлов,102.99
129,2023-01-19,Елена Новикова,84.9
130,2023-01-19,Михаил Смирнов,53.48
131,2023-01-19,Сергей Антонов,102.06
132,2023-01-19,Максим Иванов,68.13
133,2023-01-20,Иван Петров,114.21
134,2023-01-20,Мария Сидорова,72.42
135,2023-01-20,Алексей Козлов,146.5
136,2023-01-20,Елена Новикова,76.5
137,2023-01-20,Михаил Смирнов,90.34
138,2023-01-20,Сергей Антонов,124.41
139,2023-01-20,Максим Иванов,63.07
140,2023-01-21,Иван Петров,156.82
141,2023-01-21,Мария Сидорова,189.21
142,2023-01-21,Алексей Козлов,101.78
143,2023-01-21,Елена Новикова,155.54
144,2023-01-21,Михаил Смирнов,157.8
145,2023-01-21,Сергей Антонов,173.45
146,2023-01-21,Максим Иванов,112.89
147,2023-01-22,Иван Петров,110.39
148,2023-01-22,Мария Сидорова,165.66
149,2023-01-22,Алексей Козлов,158.91
150,2023-01-22,Елена Новикова,157.51
151,2023-01-22,Михаил Смирнов,160.39
152,2023-01-22,Сергей Антонов,129.6
153,2023-01-22,Максим Иванов,156.97
154,2023-01-23,Иван Петров,108.79
155,2023-01-23,Мария Сидорова,78.57
156,2023-01-23,Алексей Козлов,155.97
157,2023-01-23,Елена Новикова,114.21
158,2023-01-23,Михаил Смирнов,64.26
159,2023-01-23,Сергей Антонов,119.7
160,2023-01-23,Максим Иванов,70.76
161,2023-01-24,Иван Петров,123.61
162,2023-01-24,Мария Сидорова,134.76
163,2023-01-24,Алексей Козлов,75.38
164,2023-01-24,Елена Новикова,128.9
165,2023-01-24,Михаил Смирнов,112.38
166,2023-01-24,Сергей Антонов,124.66
167,2023-01-24,Максим Иванов,156.9
168,2023-01-25,Иван Петров,92.64
169,2023-01-25,Мария Сидорова,77.39
170,2023-01-25,Алексей Козлов,73.31
171,2023-01-25,Елена Новикова,75.53
172,2023-01-25,Михаил Смирнов,97.69
173,2023-01-25,Сергей Антонов,110.23
174,2023-01-25,Максим Иванов,108.3
175,2023-01-26,Иван Петров,124.82
176,2023-01-26,Мария Сидорова,100.39
177,2023-01-26,Алексей Козлов,143.61
178,2023-01-26,Елена Новикова,92.06
179,2023-01-26,Михаил Смирнов,181.61
